Timestamp,Classe,Confianca,Centro_X,Centro_Y
2025-09-23T01:02:15.635620,motorcycle,0.74,277,478
2025-09-23T01:02:15.635823,motorcycle,0.65,145,168
2025-09-23T01:02:15.636009,motorcycle,0.54,67,177
2025-09-23T01:02:15.636169,motorcycle,0.52,195,148
2025-09-23T01:02:15.716344,motorcycle,0.78,276,484
2025-09-23T01:02:15.716527,motorcycle,0.65,145,173
2025-09-23T01:02:15.716717,motorcycle,0.62,75,183
2025-09-23T01:02:15.716919,motorcycle,0.58,195,153
2025-09-23T01:02:15.816015,motorcycle,0.71,275,486
2025-09-23T01:02:15.816253,motorcycle,0.60,79,187
2025-09-23T01:02:15.816436,motorcycle,0.56,147,177
2025-09-23T01:02:15.901246,motorcycle,0.68,278,491
2025-09-23T01:02:15.901417,motorcycle,0.67,148,184
2025-09-23T01:02:15.901626,motorcycle,0.63,75,187
2025-09-23T01:02:15.901797,motorcycle,0.55,197,162
2025-09-23T01:02:15.982920,motorcycle,0.71,277,497
2025-09-23T01:02:15.983110,motorcycle,0.66,150,187
2025-09-23T01:02:15.983283,motorcycle,0.54,196,166
2025-09-23T01:02:15.983458,motorcycle,0.53,39,194
2025-09-23T01:02:15.983617,motorcycle,0.51,93,196
2025-09-23T01:02:16.069599,motorcycle,0.73,276,499
2025-09-23T01:02:16.069890,motorcycle,0.65,149,187
2025-09-23T01:02:16.070119,motorcycle,0.56,90,197
2025-09-23T01:02:16.070315,motorcycle,0.54,199,165
2025-09-23T01:02:16.162209,motorcycle,0.75,278,498
2025-09-23T01:02:16.162417,motorcycle,0.63,152,187
2025-09-23T01:02:16.162617,motorcycle,0.60,91,197
2025-09-23T01:02:16.162781,motorcycle,0.54,39,198
2025-09-23T01:02:16.162927,motorcycle,0.50,204,167
2025-09-23T01:02:16.247452,motorcycle,0.68,278,498
2025-09-23T01:02:16.247642,motorcycle,0.62,37,210
2025-09-23T01:02:16.247798,motorcycle,0.57,95,198
2025-09-23T01:02:16.247947,motorcycle,0.55,155,192
2025-09-23T01:02:16.336160,motorcycle,0.68,281,502
2025-09-23T01:02:16.336373,motorcycle,0.64,161,193
2025-09-23T01:02:16.336573,motorcycle,0.59,96,200
2025-09-23T01:02:16.336734,motorcycle,0.58,39,211
2025-09-23T01:02:16.420205,motorcycle,0.66,101,201
2025-09-23T01:02:16.420423,motorcycle,0.66,280,506
2025-09-23T01:02:16.420608,motorcycle,0.61,39,210
2025-09-23T01:02:16.420835,motorcycle,0.57,168,192
2025-09-23T01:02:16.421006,motorcycle,0.53,219,172
2025-09-23T01:02:16.502529,motorcycle,0.69,171,194
2025-09-23T01:02:16.502787,motorcycle,0.65,280,505
2025-09-23T01:02:16.503000,motorcycle,0.63,104,202
2025-09-23T01:02:16.503169,motorcycle,0.56,223,176
2025-09-23T01:02:16.503405,motorcycle,0.53,42,215
2025-09-23T01:02:16.595603,motorcycle,0.63,172,198
2025-09-23T01:02:16.595790,motorcycle,0.62,102,203
2025-09-23T01:02:16.595987,motorcycle,0.61,282,507
2025-09-23T01:02:16.596154,motorcycle,0.55,224,179
2025-09-23T01:02:16.596300,motorcycle,0.51,51,212
2025-09-23T01:02:16.676070,motorcycle,0.70,175,198
2025-09-23T01:02:16.676288,motorcycle,0.65,107,207
2025-09-23T01:02:16.676507,motorcycle,0.62,290,502
2025-09-23T01:02:16.676697,motorcycle,0.56,46,217
2025-09-23T01:02:16.676919,motorcycle,0.50,226,182
2025-09-23T01:02:16.767848,motorcycle,0.65,175,204
2025-09-23T01:02:16.768098,motorcycle,0.64,290,505
2025-09-23T01:02:16.768289,motorcycle,0.57,123,212
2025-09-23T01:02:16.768487,motorcycle,0.54,227,184
2025-09-23T01:02:16.768677,motorcycle,0.53,52,220
2025-09-23T01:02:16.849278,motorcycle,0.63,288,516
2025-09-23T01:02:16.849472,motorcycle,0.63,127,212
2025-09-23T01:02:16.849661,motorcycle,0.56,58,219
2025-09-23T01:02:16.849826,motorcycle,0.55,192,202
2025-09-23T01:02:16.926818,motorcycle,0.68,195,207
2025-09-23T01:02:16.927041,motorcycle,0.64,292,506
2025-09-23T01:02:16.927220,motorcycle,0.61,127,210
2025-09-23T01:02:16.927431,motorcycle,0.57,245,187
2025-09-23T01:02:16.927636,motorcycle,0.51,62,221
2025-09-23T01:02:17.002783,motorcycle,0.70,293,509
2025-09-23T01:02:17.002978,motorcycle,0.66,199,205
2025-09-23T01:02:17.003139,motorcycle,0.61,126,208
2025-09-23T01:02:17.003355,motorcycle,0.60,248,185
2025-09-23T01:02:17.003513,motorcycle,0.59,63,217
2025-09-23T01:02:17.078698,motorcycle,0.70,200,204
2025-09-23T01:02:17.078887,motorcycle,0.68,295,509
2025-09-23T01:02:17.079052,motorcycle,0.59,125,208
2025-09-23T01:02:17.079204,motorcycle,0.54,69,218
2025-09-23T01:02:17.079348,motorcycle,0.53,250,185
2025-09-23T01:02:17.154133,motorcycle,0.71,296,521
2025-09-23T01:02:17.154344,motorcycle,0.69,200,204
2025-09-23T01:02:17.154557,motorcycle,0.60,250,186
2025-09-23T01:02:17.154746,motorcycle,0.59,143,212
2025-09-23T01:02:17.154950,motorcycle,0.59,64,377
2025-09-23T01:02:17.155133,motorcycle,0.50,68,221
2025-09-23T01:02:17.228114,motorcycle,0.67,297,516
2025-09-23T01:02:17.228313,motorcycle,0.64,148,212
2025-09-23T01:02:17.228491,motorcycle,0.63,203,204
2025-09-23T01:02:17.228663,motorcycle,0.57,66,381
2025-09-23T01:02:17.228849,motorcycle,0.56,253,187
2025-09-23T01:02:17.305801,motorcycle,0.67,298,516
2025-09-23T01:02:17.305979,motorcycle,0.63,202,206
2025-09-23T01:02:17.306161,motorcycle,0.62,148,213
2025-09-23T01:02:17.306322,motorcycle,0.57,66,381
2025-09-23T01:02:17.306473,motorcycle,0.51,254,188
2025-09-23T01:02:17.383531,motorcycle,0.67,150,214
2025-09-23T01:02:17.383750,motorcycle,0.67,298,519
2025-09-23T01:02:17.383938,motorcycle,0.60,206,205
2025-09-23T01:02:17.454168,motorcycle,0.69,298,516
2025-09-23T01:02:17.454355,motorcycle,0.64,151,214
2025-09-23T01:02:17.454509,motorcycle,0.61,208,205
2025-09-23T01:02:17.454672,motorcycle,0.56,259,186
2025-09-23T01:02:17.526254,motorcycle,0.65,297,505
2025-09-23T01:02:17.526469,motorcycle,0.64,152,213
2025-09-23T01:02:17.526643,motorcycle,0.60,207,205
2025-09-23T01:02:17.597012,motorcycle,0.68,156,214
2025-09-23T01:02:17.597165,motorcycle,0.61,71,384
2025-09-23T01:02:17.597372,motorcycle,0.61,217,206
2025-09-23T01:02:17.597584,motorcycle,0.55,297,497
2025-09-23T01:02:17.597751,motorcycle,0.54,269,187
2025-09-23T01:02:17.669341,motorcycle,0.69,158,212
2025-09-23T01:02:17.669548,motorcycle,0.68,222,206
2025-09-23T01:02:17.669748,motorcycle,0.65,297,496
2025-09-23T01:02:17.669916,motorcycle,0.59,270,185
2025-09-23T01:02:17.670069,motorcycle,0.58,92,218
2025-09-23T01:02:17.742561,motorcycle,0.69,224,204
2025-09-23T01:02:17.742758,motorcycle,0.67,155,211
2025-09-23T01:02:17.742990,motorcycle,0.65,301,506
2025-09-23T01:02:17.743145,motorcycle,0.57,272,184
2025-09-23T01:02:17.743299,motorcycle,0.52,94,216
2025-09-23T01:02:17.817846,motorcycle,0.69,224,201
2025-09-23T01:02:17.818008,motorcycle,0.61,157,208
2025-09-23T01:02:17.818204,motorcycle,0.60,300,511
2025-09-23T01:02:17.818358,motorcycle,0.60,273,182
2025-09-23T01:02:17.818504,motorcycle,0.58,96,217
2025-09-23T01:02:17.894572,motorcycle,0.71,225,199
2025-09-23T01:02:17.894774,motorcycle,0.67,156,204
2025-09-23T01:02:17.895011,motorcycle,0.61,299,506
2025-09-23T01:02:17.895168,motorcycle,0.58,274,182
2025-09-23T01:02:17.895345,motorcycle,0.57,96,216
2025-09-23T01:02:17.971047,motorcycle,0.69,225,196
2025-09-23T01:02:17.971271,motorcycle,0.63,298,506
2025-09-23T01:02:17.971472,motorcycle,0.63,158,203
2025-09-23T01:02:17.971664,motorcycle,0.54,276,178
2025-09-23T01:02:18.044578,motorcycle,0.63,302,504
2025-09-23T01:02:18.044787,motorcycle,0.60,228,195
2025-09-23T01:02:18.045006,motorcycle,0.56,160,200
2025-09-23T01:02:18.120591,motorcycle,0.60,299,506
2025-09-23T01:02:18.120796,motorcycle,0.58,159,197
2025-09-23T01:02:18.121035,motorcycle,0.52,230,193
2025-09-23T01:02:18.194211,motorcycle,0.62,301,502
2025-09-23T01:02:18.194413,motorcycle,0.61,230,190
2025-09-23T01:02:18.194613,motorcycle,0.61,160,195
2025-09-23T01:02:18.194796,motorcycle,0.55,279,168
2025-09-23T01:02:18.268356,motorcycle,0.67,300,501
2025-09-23T01:02:18.268562,motorcycle,0.57,157,195
2025-09-23T01:02:18.268753,motorcycle,0.52,232,189
2025-09-23T01:02:18.342138,motorcycle,0.63,300,500
2025-09-23T01:02:18.342333,motorcycle,0.56,162,198
2025-09-23T01:02:18.342527,motorcycle,0.51,239,192
2025-09-23T01:02:18.420759,motorcycle,0.64,298,499
2025-09-23T01:02:18.420945,motorcycle,0.55,160,196
2025-09-23T01:02:18.421101,motorcycle,0.55,277,167
2025-09-23T01:02:18.498214,motorcycle,0.68,298,494
2025-09-23T01:02:18.498383,motorcycle,0.54,172,195
2025-09-23T01:02:18.498533,motorcycle,0.52,286,167
2025-09-23T01:02:18.571587,motorcycle,0.64,302,491
2025-09-23T01:02:18.571785,motorcycle,0.62,171,196
2025-09-23T01:02:18.571994,motorcycle,0.59,234,191
2025-09-23T01:02:18.572415,motorcycle,0.56,278,166
2025-09-23T01:02:18.644626,motorcycle,0.63,301,491
2025-09-23T01:02:18.644794,motorcycle,0.58,173,194
2025-09-23T01:02:18.644950,motorcycle,0.56,238,190
2025-09-23T01:02:18.645113,motorcycle,0.50,281,166
2025-09-23T01:02:18.726110,motorcycle,0.64,299,488
2025-09-23T01:02:18.726285,motorcycle,0.57,174,195
2025-09-23T01:02:18.808302,motorcycle,0.59,292,445
2025-09-23T01:02:18.808460,motorcycle,0.54,176,193
2025-09-23T01:02:18.808626,motorcycle,0.51,290,165
2025-09-23T01:02:18.885326,motorcycle,0.60,299,448
2025-09-23T01:02:18.885507,motorcycle,0.57,174,193
2025-09-23T01:02:18.885683,motorcycle,0.56,291,163
2025-09-23T01:02:18.885886,motorcycle,0.55,245,188
2025-09-23T01:02:18.964619,motorcycle,0.61,293,443
2025-09-23T01:02:18.964835,motorcycle,0.58,299,163
2025-09-23T01:02:18.965013,motorcycle,0.55,175,190
2025-09-23T01:02:19.040495,motorcycle,0.69,300,445
2025-09-23T01:02:19.040680,motorcycle,0.59,178,188
2025-09-23T01:02:19.040854,motorcycle,0.59,302,163
2025-09-23T01:02:19.041040,motorcycle,0.54,250,184
2025-09-23T01:02:19.124683,motorcycle,0.61,303,445
2025-09-23T01:02:19.124858,motorcycle,0.60,179,187
2025-09-23T01:02:19.125036,motorcycle,0.58,252,184
2025-09-23T01:02:19.125208,motorcycle,0.54,301,163
2025-09-23T01:02:19.216006,motorcycle,0.62,305,445
2025-09-23T01:02:19.216234,motorcycle,0.59,252,186
2025-09-23T01:02:19.216431,motorcycle,0.58,176,187
2025-09-23T01:02:19.216607,motorcycle,0.53,301,163
2025-09-23T01:02:19.297594,motorcycle,0.60,250,185
2025-09-23T01:02:19.297798,motorcycle,0.60,305,446
2025-09-23T01:02:19.297979,motorcycle,0.57,176,188
2025-09-23T01:02:19.298127,motorcycle,0.52,301,162
2025-09-23T01:02:19.379542,motorcycle,0.65,305,445
2025-09-23T01:02:19.379758,motorcycle,0.61,250,184
2025-09-23T01:02:19.379928,motorcycle,0.58,175,186
2025-09-23T01:02:19.380085,motorcycle,0.55,300,162
2025-09-23T01:02:19.456895,motorcycle,0.70,306,442
2025-09-23T01:02:19.457096,motorcycle,0.55,250,183
2025-09-23T01:02:19.457286,motorcycle,0.55,176,185
2025-09-23T01:02:19.457462,motorcycle,0.53,301,160
2025-09-23T01:02:19.533969,motorcycle,0.61,294,441
2025-09-23T01:02:19.534153,motorcycle,0.58,251,182
2025-09-23T01:02:19.534309,motorcycle,0.55,297,160
2025-09-23T01:02:19.534498,motorcycle,0.55,176,184
2025-09-23T01:02:19.606892,motorcycle,0.68,292,438
2025-09-23T01:02:19.607076,motorcycle,0.55,300,160
2025-09-23T01:02:19.607230,motorcycle,0.53,250,181
2025-09-23T01:02:19.684962,motorcycle,0.64,292,440
2025-09-23T01:02:19.685144,motorcycle,0.58,250,177
2025-09-23T01:02:19.685349,motorcycle,0.55,301,160
